"trackNumber","artistName","trackName","specialName","releaseDate","episodeNumber"
16,"Kyo & Gil","Ultima (Original Mix)","Enhanced Limited","May 31, 2007",302
17,"Factoria","Revive (Static Blue Remix)","Breeze Records","May 31, 2007",302
18,"DJ Tiesto","Flight 643 (Dave Schiemann’s White Bootleg Remix)","No Label","May 31, 2007",302
19,"Marcel Woods","Lemon Tree (Original Mix)","High Contrast Recordings","May 31, 2007",302
20,"ASOT Radio Classic: Perpetuous Dreamer","The Sound Of Goodbye (Armin van Buuren’s Tribal Feel)","Armind","May 31, 2007",302
1,"Milan Lieskovsky","Elenya (Introida Mix)","Bonzai","June 07, 2007",303
2,"Welsh","Morphology (Original Mix)","Armada Music","June 07, 2007",303
3,"Mario Piu, Ricky Fobis & Lady Brian","Isla Bonita (Joop Edit)","No Label","June 07, 2007",303
4,"Matt Darey feat. Tiff Lacey","Sum Of All fears (Tenishia Remix)","Darey Products LTD","June 07, 2007",303
5,"Deadmau5 & Glenn Morrison","Contact (Original Mix)","Little Mountain Recordings","June 07, 2007",303
6,"Dogzilla","Frozen (Wippenberg Remix)","Maelstrom Records","June 07, 2007",303
7,"Markus Schulz","Fly To Colors (Original Mix)","Coldharbour Recordings","June 07, 2007",303
8,"Tune Of The Week: Wink","Higher State Of Consciousness (Marco V. Remix)","Disco:Wax","June 07, 2007",303
9,"The Blizzard","Kalopsia (Original Mix)","Armada Music","June 07, 2007",303
10,"Alex Bartlett","TouchThe Sun (Duende’s Dub Mix)","Drizzly","June 07, 2007",303
11,"Arctic Quest","Strings & Guitars (Original Mix)","Soundpiercing","June 07, 2007",303
12,"Super8 & Tab","Suru (Original Mix)","Anjunabeats","June 07, 2007",303
13,"First State","Evergreen (Original Mix)","Blackhole Recordings","June 07, 2007",303
14,"Solarstone","Seven Cities (Ehren Stowers & Bostock Remix)","No Label","June 07, 2007",303
15,"Future Favorite: Aly & Fila vs. F.K.N. feat. Jahala","How Long?","Armada Music","June 07, 2007",303
16,"DJ Shah feat. Adrina Thorpe","Who Will Find Me (Main Mix)","Armada Music","June 07, 2007",303
17,"Tranquility Base","Oceanic (Sean Tyas Remix)","Anjunabeats","June 07, 2007",303
18,"Orjan Nilsen pres. Dominic Dominion","Black Mamba (Original Mix)","Enhanced Progressive","June 07, 2007",303
19,"ASOT Radio Classic: Binary Finary","1999 (Gouryella Remix)","Positiva","June 07, 2007",303
1,"Moussa Clarke feat. Kathleen Fisher","Love Key (Jody Wisternoff Remix)","Slammin Muzik","June 14, 2007",304
2,"Steve Angello & Sebastian Ingrosso","Umbrella (Marcus Schossow Remix)","Vendetta Records","June 14, 2007",304
3,"Dave Lambert","House In Play (Dub Deluxe Remix)","Lickin Tribe","June 14, 2007",304
4,"Sunlounger","Another Day On The Terrace (Original Mix)","Armada Music","June 14, 2007",304
5,"Welsh","Morphology (Original Mix)","Armada Music","June 14, 2007",304
6,"Dash Berlin","Till The Sky Falls Down (Original Mix)","Armada Music","June 14, 2007",304
7,"Terry Ferminal vs. Mark Sherry","Walk Away (Terry Ferminal Mix)","Captivating Sounds","June 14, 2007",304
8,"Tune Of The Week: Dubfire","Roadkill (Breakfast Remix)","Cloud 9 Dance","June 14, 2007",304
9,"Airbase","Garden State (Ronski Speed Revamped)","No Label","June 14, 2007",304
10,"Mungo","Summer Blush (Original Mix)","ASOT","June 14, 2007",304
11,"Algarve","The Longest Journey (Alex M.O.R.P.H. Remix)","Supra","June 14, 2007",304
12,"Menno de Jong","Nolthando (Original Mix)","Intuition Recordings","June 14, 2007",304
13,"DJ Orkidea feat. Marc Mitchell","Eternal Love (Original Mix)","Intuition Recordings","June 14, 2007",304
14,"Bissen","Quicksand (Original Mix)","Armada Music","June 14, 2007",304
15,"Sophie Sugar","Day Seven (Original Mix)","ASOT","June 14, 2007",304
16,"Sean Tyas","Drop (Original Mix)","Discover Digital","June 14, 2007",304
17,"Vincent de Moor","No Hesitation (Vincent de Moor’ 2007 Rework)","Moor Music","June 14, 2007",304
18,"Super8 & Tab","Suru (Martin Roth’s Electrance Remix)","Anjunabeats","June 14, 2007",304
19,"Three Drives","Greece 2000 (Marcel Woods Remix)","Mid","June 14, 2007",304
20,"Marcel Woods","Lemon Tree (Original Mix)","High Contrast Recordings","June 14, 2007",304
21,"Rex Mundi & Ronski Speed","The Space Perspective (Markus Schulz Mash","n/a","June 14, 2007",304
22,"ASOT Radio Classic: Airwave","Alone In The Dark (Original Mix)","Bonzai","June 14, 2007",304
1,"ATB","Desperate Religion (Joshua Cunningham Remix)","Kontor Records","June 21, 2007",305
2,"Terk Dawn","Barent Blue (Marninx pres. Monogato Remix)","Well Mixed Recordings","June 21, 2007",305
3,"Purple Mood","One Night In Tokyo (DJ Shah’s Savannah Remix)","Anjunabeats","June 21, 2007",305
4,"DJ Shah feat. Adrina Thorpe","Who Will Find Me (Original Mix)","Armada Music","June 21, 2007",305
5,"Jose Amnesia feat. Jennifer Rene","Invincible (Siel van Riel Remix)","Armind","June 21, 2007",305
6,"Future Favorite: Milan Lieskovsky","Elenya (Introida Remix)","Bonzai","June 21, 2007",305
7,"Tune Of The Week: Markus Schulz vs. Andy Moor","Daydream (Original Mix)","Coldharbour Recordings","June 21, 2007",305
8,"Progression","Loving Memories (Album Dub Mix)","Blackhole Recordings","June 21, 2007",305
9,"Galen Behr feat. Elle","Weak (Dub Mix)","United Recordings","June 21, 2007",305
10,"Solarsun","Overjoyed (Hydroid Remix)","Afterglow","June 21, 2007",305
11,"The Thrillseekers feat. Aruna","Waiting Here For You (Breakfast’s Club Mix)","Adjusted Recordings","June 21, 2007",305
12,"Mungo","Summer Blush (Original Mix)","ASOT","June 21, 2007",305
13,"Ferry Tale & Tonks","Vol De Nuit (Terry Bones Remix)","Banshee","June 21, 2007",305
14,"Sean Tyas","Drop (Original Mix)","Discover Digital","June 21, 2007",305
15,"Dave 202","Louvre (Original Mix)","Captivating Sounds","June 21, 2007",305
16,"Meridian","Emphase (Mike Nichol Remix)","Infrasonic Recordings","June 21, 2007",305
17,"Natlife","Black Sea (Original Mix)","Redux","June 21, 2007",305
18,"Mainx","88 To Piano (D","n/a","June 21, 2007",305
19,"ASOT Radio Classic: B.T.","Flaming June (Original Mix)","Nettwerk","June 21, 2007",305
1,"Moussa Clarke vs. The Police","She Wants Him (Original Mix)","Oven Ready","June 28, 2007",306
2,"Jose Amnesia feat. Jennifer Rene","Invincible (Original Mix)","Armind","June 28, 2007",306
3,"Pryda","Ironman (Original Mix)","Pryda","June 28, 2007",306
4,"Tune Of The Week: Dash Berlin","Till The Sky Falls Down (Dub Mix)","Captivating Sounds","June 28, 2007",306
5,"Solarsun","Overjoy (Cold Blue Remix)","Afterglow","June 28, 2007",306
6,"Purple Mood","One Night In Tokyo (Original Mix)","Anjunabeats","June 28, 2007",306
7,"Markus Schulz","Perfect (Original Mix)","Coldharbour Recordings","June 28, 2007",306
8,"Optik","Object (Original Mix)","Banshee","June 28, 2007",306
9,"Cold Blue & Del Mar","11 Days (Sebastian Brandt Remix)","In Trance We Trust","June 28, 2007",306
10,"Future Favorite: Markus Schulz vs. Andy Moor","Daydream (Original Mix)","Coldharbour Recordings","June 28, 2007",306
11,"SAS","Comin’ On (Mark Sherry vs. James Allan’s Dub Mix)","Soundpiercing","June 28, 2007",306
12,"Paul van Dyk feat. Jessic Sutta","White Lies (Berlin’s Vocal Mix)","Vandit Records","June 28, 2007",306
13,"Onova","Electroscandia (Original Mix)","Platitude","June 28, 2007",306
14,"Kyo & Gil","Ultima (Original Mix)","Enhanced Limited","June 28, 2007",306
15,"Menno de Jong feat. Re:Locate","Solid State (Original Mix)","Intuition Recordings","June 28, 2007",306
16,"Simon Patterson","Bulldozer (Original Mix)","Spinnin' Records","June 28, 2007",306
17,"B.E.N. vs. Mr. Pit","More Manners Please (Original Mix)","Coldharbour Recordings","June 28, 2007",306
18,"Mungo","Summer Blush (Aly & Fila Remix)","ASOT","June 28, 2007",306
19,"ASOT Radio Classic: Hemstock & Jennings feat. Sheena","Mirage Of Hope (Lange’s Club Mix)","Phaze","June 28, 2007",306
1,"Veracocha","Carte Blanche (Marcus Schossow Remix)","Moor Music","July 05, 2007",307
2,"Rinster","Out The Water (Nick Thompson’s Ibiza Sunrise Mix)","Reactor","July 05, 2007",307
3,"Pryda","Madderferrys (Original Mix)","Pryda","July 05, 2007",307
4,"B.E.N. vs. Mr. Pit","Superstition (Original Mix)","Coldharbour Recordings","July 05, 2007",307
5,"Tune Of The Week: Terry Ferminal","Deep Inside (Original Mix)","High Contrast Recordings","July 05, 2007",307
6,"David West","Welsh Morphology (Original Mix)","Anjunabeats","July 05, 2007",307
7,"The Thrillseekers","Waiting Here For You (Original Mix)","Adjusted","July 05, 2007",307
8,"Supuer","Minerva (Estiva Remix)","Enhanced Progressive","July 05, 2007",307
9,"Tranquility Base","Oceanic (Super8 & Tab Remix)","Anjunabeats","July 05, 2007",307
10,"Evbointh","One Wish (Daniel Kandi Remix)","Anjunabeats","July 05, 2007",307
11,"Capetown","Metaphorique (Ferry Tayle’s Neverending Story Mix)","Banshee","July 05, 2007",307
12,"The Blizzard","Kalopsia (Original Mix)","Armada Music","July 05, 2007",307
13,"Miikka Leinonen","Shadow Creatures (Estiva Remix)","Alter Ego","July 05, 2007",307
14,"Oxid Project","Before You Go (Likuida Remix)","Daif Records","July 05, 2007",307
15,"Future Favorite: Cold Blue & Del Mar","11 Days (Sebastian Brandt Remix)","In Trance We Trust","July 05, 2007",307
16,"Bissen","Exhale (Sean Tyas Remix)","ASOT","July 05, 2007",307
17,"Aly & Fila vs. F.K.N. feat. Jahala","How Long? (Original Mix)","Armada Music","July 05, 2007",307
18,"Sean Tyas","One More Night Out (Original Mix)","ASOT","July 05, 2007",307
19,"Menno de Jong feat. Relocate","Solid State (Original Mix)","Intuition Recordings","July 05, 2007",307
20,"ASOT Radio Classic: Yahel","Devotion (Armin van Buuren Remix)","Cyber Records","July 05, 2007",307
1,"Steve Angello & Sebastian Ingrosso","Umbrella (Marcus Schossow Remix)","Vendetta Records","July 12, 2007",308
2,"Dave Lambert","House In Play (Dub Deluxe Remix)","Lickin Tribe","July 12, 2007",308
3,"Roland Klinkenberg feat. DJ Remy","Mexico Can Wait (Original Mix)","Global Underground","July 12, 2007",308
4,"B.E.N. vs. Mr. Pit","Superstition (Original Mix)","Coldharbour Recordings","July 12, 2007",308
5,"Sander van Doorn","Riff (Original Mix)","Spinnin' Records","July 12, 2007",308
6,"Wamdue Project","King Of My Castle (Sander van Doorn’s Dub Mix)","No Label","July 12, 2007",308
7,"Kirsty Hawkshaw","Outsider (Cosmic Gate Remix)","Armind","July 12, 2007",308
8,"Breakfast","The Sunlight (Original Mix)","Flashover Recordings","July 12, 2007",308
9,"Terry Ferminal","Deep Inside (Original Mix)","High Contrast Recordings","July 12, 2007",308
10,"Vincent de Moor","Fly Away (Cosmic Gate Remix)","Moor Music","July 12, 2007",308
11,"Mungo","Summer Blush (Original Mix)","ASOT","July 12, 2007",308
12,"Onova","Elektroscandia (Original Mix)","Trancetribe Recordings","July 12, 2007",308
13,"Simon Patterson","Bulldozer (Original Mix)","Spinnin' Records","July 12, 2007",308
14,"Filo & Peri feat. Eric Lumiere","Anthem (John O’Callaghan Remix)","Vandit Records","July 12, 2007",308
15,"John O’Callaghan feat. Audrey Gallagher","Big Sky (Original Mix)","Armind","July 12, 2007",308
16,"Filterheadz","Yimanya (Digital Nature Remix)","No Label","July 12, 2007",308
17,"Bedrock","Heaven Scent (Greg Downey Remix)","Bedrock Records","July 12, 2007",308
18,"Armin van Buuren vs. Rank 1","This World Is Watching Me (Cosmic Gate Remix)","Armind","July 12, 2007",308
1,"Ozgur Can","Spara Mig (Original Mix)","Save Me Records","July 19, 2007",309
2,"Second Skin feat. Vera Ostrova","Runaway (Second Skin’s Magic Bells Mix)","Pitch Music","July 19, 2007",309
3,"Jose Amnesia feat. Jennifer Rene","Invincible (Sied van Riel Remix)","Armind","July 19, 2007",309
4,"Dash Berlin","Till The Sky Falls Down (Dub Mix)","Armada","July 19, 2007",309
5,"Lange","Angel Falls (Signalrunners Remix)","Lange Recordings","July 19, 2007",309
6,"Future Favorite: David West","Welsh Morphology (Original Mix)","Anjunabeats","July 19, 2007",309
7,"Markus Schulz feat. Andy Moor","Daydream (Original Mix)","Coldharbour Recordings","July 19, 2007",309
8,"Julian Jeweil","Air Conditionne (Umek Remix)","Skriptom Recordings","July 19, 2007",309
9,"Tune Of The Week: Sander van Doorn","Riff (Original Mix)","Spinnin' Records","July 19, 2007",309
10,"SAS","Comin’ On (Mark Sherry vs. James Allan’s Dub Mix)","Soundpiercing","July 19, 2007",309
11,"Graeme Harrison","Xanthe (Original Mix)","Sony BMG Music Entertainment","July 19, 2007",309
12,"Evbointh","One Wish (Daniel Kandi Remix)","Anjunabeats","July 19, 2007",309
13,"Duderstadt vs. Above & Beyond","Can’t Smile (Daniel Kandi’s Mash","n/a","July 19, 2007",309
14,"Cape Town","Metaphorique (Ferry Tayle’s Neverending Story Mix)","Banshee","July 19, 2007",309
15,"Onova","Platitude (Original Mix)","Vandit Records","July 19, 2007",309
16,"Filterheadz","Yimanya (Digital Nature Remix)","No Label","July 19, 2007",309
17,"Dave 202","Louvre (Original Mix)","Captivating Sounds","July 19, 2007",309
18,"Re:Locate vs. Sir Adrian","Times X (Original Mix)","Armada Music","July 19, 2007",309
19,"Fred Baker vs. Greg Nash","Atlantis City (Original Mix)","Spinnin' Records","July 19, 2007",309
20,"ASOT Radio Classic: Chicane","Saltwater (Original Mix)","Xtravaganza","July 19, 2007",309
1,"The Cary Brothers","Ride (Blake Jarrell Remix)","No Label","July 26, 2007",310
2,"Global Experience","Madras (Original Mix)","Blackhole Recordings","July 26, 2007",310
3,"Veracocha","Carte Blanche (Marcus Schossow Remix)","Moor Music","July 26, 2007",310
4,"T4L","Alternative Route (Original Mix)","Blackhole Recordings","July 26, 2007",310
5,"Deadmau5","Jaded (Original Mix)","Mau5trap","July 26, 2007",310
6,"Solarstone & Alucard","Late Summer Fields (Deeper Sunrise Dub Mix)","Deep Blue Records","July 26, 2007",310
7,"Kyau & Albert","7Skies (Club Mix)","Euphonic","July 26, 2007",310
8,"Keane","Try Again (Blank & Jones Remix)","No Label","July 26, 2007",310
9,"Future Favorite: Cape Town","Metaphorique (Ferry Tale’s Neverending Story Mix)","Banshee","July 26, 2007",310
10,"Kos Project","My World (D","n/a","July 26, 2007",310
11,"Mojado","Amarillo (Original Mix)","Magik Muzik","July 26, 2007",310
12,"Gareth Emery","More Than Anything (Stoneface & Terminal Remix)","Five AM","July 26, 2007",310
13,"Digitalis","So Far Away (Michael Angelo & Jim Remix)","Tranceflo Records","July 26, 2007",310
14,"Ehren Stowers & The Viceroy","Way Of Life (Deep Wide Remix)","Monster Tunes","July 26, 2007",310
15,"Tune Of The Week: Freesoup","By Default (Original Mix)","Five AM","July 26, 2007",310
16,"Sean Tyas","Drop (Original Mix)","Discover Digital","July 26, 2007",310
17,"John Askew","Chime (Original Mix)","Discover Digital","July 26, 2007",310
18,"DJ Tiesto feat. B.T.","Break My Fall (Richard Durand Remix)","Blackhole Recordings","July 26, 2007",310
19,"Terry Ferminal","Deep Inside (Original Mix)","High Contrast Recordings","July 26, 2007",310
20,"ASOT Radio Classic: Utah Saints","Lost Vaugeness (Original Mix)","Echo label","July 26, 2007",310
1,"Eddie Sender","Maya (Original Mix)","Bonzai Trance Progressive","August 02, 2007",311
2,"The Blizzard","Kalopsia (Mark Otten’s Energetic Remix)","Armind","August 02, 2007",311
3,"Dash Berlin","Till The Sky Falls Down (Vocal Mix)","Captivating Sounds","August 02, 2007",311
4,"Tune Of The Week: Talla 2XLC","No In Between (Duderstadt’s Progressive Dub Mix)","Breathe","August 02, 2007",311
5,"Global Illumination","Tremble (Danilo Ercole Remix)","Armind","August 02, 2007",311
6,"Gareth Emery","More Than Anything (Stoneface & Terminal Remix)","Five AM","August 02, 2007",311
7,"Tom Colontonio","Oxidize (Original Mix)","Conspiracy Recordings","August 02, 2007",311
8,"Simon Patterson","We’ll See (Original Mix)","Spinnin' Records","August 02, 2007",311
9,"Sa.Vee.Oh","Loop Hole (Robert Gitelman Remix)","Mazeman","August 02, 2007",311
10,"Mojado","Kaktus (Original Mix)","Blackhole Recordings","August 02, 2007",311
11,"Sander van Doorn","Riff (Original Mix)","Spinnin' Records","August 02, 2007",311
12,"Dubfire","Roadkill (Breakfast Remix)","Electronic Elements","August 02, 2007",311
13,"Rex Mundi","Perspective (Original Mix)","Cyber Records","August 02, 2007",311
14,"Vincent de Moor","Fly Away (Cosmic Gate Remix)","Combined Forces","August 02, 2007",311
15,"Sean Tyas","One More Night Out (Original Mix)","ASOT","August 02, 2007",311
16,"Tranquility Base","Oceanic (Original Mix)","Anjunabeats","August 02, 2007",311
17,"John O’Callaghan feat. Audrey Gallagher","Big Sky (Agnelli & Nelson Remix)","Armind","August 02, 2007",311
18,"Simon Patterson","Bulldozer (Original Mix)","Spinnin' Records","August 02, 2007",311
19,"Thomas Bronzwaer","Resound (Original Mix)","United","August 02, 2007",311
1,"Pryda","Balaton (Original Mix)","Pryda","August 09, 2007",312
2,"Rue de Garr","Soul Symbol (Original Mix)","Curvve Recordings","August 09, 2007",312
3,"Mark Pledger vs. Super8","Worldwide (Junk Science Remix)","Anjunabeats","August 09, 2007",312
4,"Genix","Phused (Marcus Schossow Remix)","Spinnin' Records","August 09, 2007",312
5,"Future Favorite: Dash Berlin","Till The Sky Falls Down (Vocal Mix)","Captivating Sounds","August 09, 2007",312
6,"Nic Chagall","Back To San Fran (Original Mix)","High Contrast Recordings","August 09, 2007",312
7,"Solarstone & Alucard","Late Summer Fields (Deeper Sunrise Dub Mix)","Deep Blue Records","August 09, 2007",312
8,"The Blizzard","Kalopsia (Mark Otten’s Energetic Remix)","Armind","August 09, 2007",312
9,"Paul van Dyk feat. Ashley Tomberlin","Complicated (Original Mix)","Avex Trax","August 09, 2007",312
10,"Paul van Dyk & Alex M.O.R.P.H. feat. Ashley Tomberlin","Get Back (Original Mix)","Avex Trax","August 09, 2007",312
11,"Paul van Dyk & Giuseppe Ottaviani","Far Away (Original Mix)","Vandit Records","August 09, 2007",312
12,"Denga & Manus","Dimensions (Original Mix)","ASOT","August 09, 2007",312
13,"Bissen","Quicksand (Original Mix)","ASOT","August 09, 2007",312
14,"Markus Schulz vs. Andy Moor","Daydream (12? Mix)","Coldharbour Recordings","August 09, 2007",312
15,"Talla 2XLC","No In Between (John O’Callaghan Remix)","Cloud 9 Dance","August 09, 2007",312
16,"Tune Of The Week: John O’Callaghan feat. Audrey Gallagher","Big Sky (Agnelli & Nelson Remix)","Armind","August 09, 2007",312
17,"Thomas Bronzwaer","Resound (Original Mix)","United","August 09, 2007",312
18,"Onova","Electroscandia (Original Mix)","Monster Tunes","August 09, 2007",312
19,"Majera","Velvet Sun (Aly & Fila Remix)","Deep Blue Records","August 09, 2007",312
20,"Asylum","Intoxicated (Mark Sherry vs. James Allan Remix)","In Charge","August 09, 2007",312
21,"Dumonde","Gun (Instrumental Version)","F8T Recordings","August 09, 2007",312
22,"Nenes & Pascal Feliz","Platinum (Tech Mix)","High Contrast Recordings","August 09, 2007",312
23,"ASOT Radio Classic: Solarstone","7 Cities (Armin van Buuren Remix)","Lost Language","August 09, 2007",312
1,"Above & Beyond","Home (Wippenberg Remix)","Anjunabeats","August 16, 2007",313
2,"Heatbeat","Protoculture (Original Mix)","Istmo Music","August 16, 2007",313
3,"Envio","For You (The Blizzard Remix)","ASOT","August 16, 2007",313
4,"Talla 2XLC","No In Between (Duderstadt’s Progressive Dub Mix)","Breathe","August 16, 2007",313
5,"Paul van Dyk","La Dolce Vita (Original Mix)","Vandit Records","August 16, 2007",313
6,"Paul Miller","Crystal Source (Original Mix)","Conspiracy Recordings","August 16, 2007",313
7,"Future Favorite: John O’Callagan feat. Audrey Gallagher","Big Sky (Agnelli & Nelson Remix)","Armind","August 16, 2007",313
8,"Tune Of The Week: The Doppler Effect","Beauty Hides In The Deep (John O’Callaghan Remix)","Armind","August 16, 2007",313
9,"Thomas Bronzwaer","Resound (Sean Tyas Remix)","United","August 16, 2007",313
10,"Nic Chagall","Back To San Fran (Original Mix)","High Contrast Recordings","August 16, 2007",313
11,"Black Pearl","Bounty Island (DJ Shah’s San Antonio Harbour Remix)","ASOT","August 16, 2007",313
12,"Purple Mood","One Night In Tokyo (DJ Shah’s Savannah Remix)","Anjunabeats","August 16, 2007",313
13,"Ilse de Lange","The Great Escape (Armin van Buuren Remix)","BMG","August 16, 2007",313
14,"Roland Klinkenberg","Mexico Can Wait (Original Mix)","Global Underground","August 16, 2007",313
15,"D. Ramirez & Mark Knight","Colombian Soul (Original Mix)","Swift Records","August 16, 2007",313
16,"Genix","Phused (Marcus Schossow Remix)","Spinnin' Records","August 16, 2007",313
17,"Lange","Angel Falls (Signalrunners Remix)","Lange Recordings","August 16, 2007",313
18,"Dash Berlin","Till Rhe Sky Falls Down (Dub Mix)","Captivating Sounds","August 16, 2007",313
19,"Sultan & Ned","Together We Rise (Original Mix)","Yoshitoshi","August 16, 2007",313
1,"Jody Wisternoff","Starstrings (Original Mix)","High Contrast Recordings","August 23, 2007",314
2,"Bobina","The Last He Said (Original Mix)","Maelstrom Records","August 23, 2007",314
3,"Nic Chagall","Borderlines (Original Mix)","High Contrast Recordings","August 23, 2007",314
4,"DJ Observer & Daniel Heatcliff","Interference (Original Mix)","Tekelec Recordings","August 23, 2007",314
5,"Signalrunners","Don’t Look Back (Original Mix)","Anjunabeats","August 23, 2007",314
6,"Paul Oakenfold","Not Over (Robert Vadney’s 2007 Remix)","Perfecto","August 23, 2007",314
7,"Terry Ferminal","Deep Inside (Original Mix)","High Contrast Recordings","August 23, 2007",314
8,"Mark Norman","Blikkenmachine (Original Mix)","Blackhole Recordings","August 23, 2007",314
9,"The Doppler Effect","Beauty Hides In The Deep (John O’Callaghan Remix)","Armind","August 23, 2007",314
10,"Andy Bagguley","Together As One (Michael Dow Remix)","Instant Music","August 23, 2007",314
11,"Future Favorite: Envio","For You (The Blizzard Remix)","ASOT","August 23, 2007",314
12,"Tune Of The Week: Tom Colontonio","Oxidize (Original Mix)","Conspiracy Recordings","August 23, 2007",314
13,"Bart Claessen","First Light (Original Mix)","United","August 23, 2007",314
14,"Paul van Dyk","Castaway (Original Mix)","Positiva","August 23, 2007",314
15,"Solarstone","7 Cities (Tom Colontonio Rework)","No Label","August 23, 2007",314
16,"Joop","Prominent (Original Mix)","High Contrast Recordings","August 23, 2007",314
17,"Armin van Buuren","The Sound Of Goodbye (Nic Chagall’s Drumbeat Re","n/a","August 23, 2007",314
18,"Digital Nature","Oasis (John Askew Remix)","Flux Delux","August 23, 2007",314
19,"Above & Beyond","Home (Above & Beyond’s Club Mix)","Euphonic","August 23, 2007",314
20,"ASOT Radio Classic: Solid Sessions","Janeiro (Armin van Buuren Remix)","Positiva","August 23, 2007",314
1,"Michael Cassette","David (Allende Remix)","Anjunadeep","August 30, 2007",315
2,"Tune Of The Week: Arnej","Rendezvous (Destination Unknown)","Pilot6 Recordings","August 30, 2007",315
3,"Dubfire","Roadkill (EDX’s Acapulco At Night Remix)","Electronic Elements","August 30, 2007",315
4,"D. Ramirez & Mark Knight","Columbian Soul (Gabriel & Dresden Remix)","Toolroom","August 30, 2007",315
5,"Deadmau5","Arguru (Original Mix)","Songbird","August 30, 2007",315
6,"Cosmic Gate","Body Of Conflict (Extended Mix)","Maelstrom Records","August 30, 2007",315
7,"Sunlounger","Another Day On The Terrace (Original Mix)","Armada Music","August 30, 2007",315
8,"John O’Callaghan feat. Audrey Gallagher","Big Sky (Original Mix)","Armind","August 30, 2007",315
9,"Heatbeat","Protoculture (Original Mix)","Istmo Music","August 30, 2007",315
10,"AB Project","Misconceptions (Ehren Stowers’s Massive Riff Remix)","Mondo Records","August 30, 2007",315
11,"The Veil Kings","Searching For Truth (Original Mix)","Songbird","August 30, 2007",315
12,"Denga & Manus","Dimensions (Original Mix)","ASOT","August 30, 2007",315
13,"Future Favorite: Above & Beyond","Home (Original Mix)","Anjunabeats","August 30, 2007",315
14,"Amurai vs. Static Blue","After The Sunrise (Daniel Kandi Remix)","Alter Ego","August 30, 2007",315
